,ID,Cycle,Schedule,Base,Variant,nonconv_ratio,storage_ratio,rescued_steps,runtime_s
0,A1_R1,A1,coarse_ref_554,coarse_balanced,coarse_A,0.494585,0.994656,3,903.83
1,A1_R2,A1,coarse_ref_554,coarse_balanced,coarse_A,0.460289,0.994723,2,1019.37
2,A1_R3,A1,coarse_ref_554,coarse_balanced,coarse_A,0.494585,0.994656,3,1101.25
3,A2_R1,A2,coarse_fast_track,coarse_fast,coarse_A,0.606436,0.994421,8,716.62
4,A2_R2,A2,coarse_fast_track,coarse_fast,coarse_B,0.611386,0.994342,3,773.44
5,A2_R3,A2,coarse_fast_track,coarse_aggressive,coarse_B,0.584158,0.991637,4,672.94
6,B1_R1,B1,coarse_ref_554,coarse_refined_A1R2,coarse_A,0.460289,0.994723,2,1071.53
7,B1_R2,B1,coarse_ref_554,coarse_refined_A1R2,coarse_A,0.469314,0.994687,4,978.59
8,B1_R3,B1,coarse_ref_554,coarse_refined_A1R2,coarse_A,0.440433,0.994754,0,984.52
9,B2_R1,B2,coarse_ref_554,coarse_refined_tight,coarse_A,0.386282,0.994896,10,825.89
10,B2_R2,B2,coarse_ref_554,coarse_refined_soft,coarse_A,0.382671,0.994954,7,869.46
11,B2_R3,B2,coarse_mid_refine,coarse_refined_tight,coarse_A,0.362393,0.994892,15,854.23
12,B3_R1,B3,coarse_gentle_start,coarse_refined_tight,coarse_A,0.347039,0.994918,11,863.27
13,B3_R2,B3,coarse_gentle_start,coarse_refined_tight,coarse_C,0.381579,0.994847,2,1106.77
14,C1_R1,C1,coarse_gentle_start,B3R1_like,coarse_A,0.347039,0.994918,11,2435.97
15,C1_R2,C1,coarse_gentle_start,B3R1_like,coarse_A,0.328947,0.994944,9,842.55
16,C1_R3,C1,coarse_gentle_start,B3R1_tighter,coarse_A,0.327303,0.994984,7,897.49
17,C2_R1,C2,coarse_mid_refine,B3R1_tighter,coarse_A,0.357265,0.994991,3,895.36
18,C2_R2,C2,coarse_ultra_transition,B3R1_tighter,coarse_A,0.253614,0.994912,5,1005.73
