texture,Q_Lh,time_h,fw_threshold,Zmax_cm,Rmax_cm,Width_cm,Depth_to_radius_Z_over_R,Shape_W_over_D,nonconv_ratio,storage_ratio,npz_file
Loam,0.5,0.5,0.5,8.5,9.5,19.0,0.8947368421052632,2.235294117647059,0.0833333333333333,0.8960256775970638,a6fbbc0dcec15a93.npz
Loam,0.5,1.0,0.5,10.5,11.5,23.0,0.9130434782608695,2.1904761904761907,0.0833333333333333,0.8960256775970638,a6fbbc0dcec15a93.npz
Loam,0.5,2.0,0.5,12.5,15.5,31.0,0.8064516129032258,2.48,0.0833333333333333,0.8960256775970638,a6fbbc0dcec15a93.npz
Loam,0.5,4.0,0.5,15.5,19.5,39.0,0.7948717948717948,2.5161290322580645,0.0833333333333333,0.8960256775970638,a6fbbc0dcec15a93.npz
Loam,1.0,0.5,0.5,10.5,11.5,23.0,0.9130434782608695,2.1904761904761907,0.1186868686868686,0.9431962987102144,27e07d52bf78dba9.npz
Loam,1.0,1.0,0.5,13.5,15.5,31.0,0.8709677419354839,2.2962962962962963,0.1186868686868686,0.9431962987102144,27e07d52bf78dba9.npz
Loam,1.0,2.0,0.5,16.5,20.5,41.0,0.8048780487804879,2.484848484848485,0.1186868686868686,0.9431962987102144,27e07d52bf78dba9.npz
Loam,1.0,4.0,0.5,19.5,26.5,53.0,0.7358490566037735,2.717948717948718,0.1186868686868686,0.9431962987102144,27e07d52bf78dba9.npz
Loam,2.0,0.5,0.5,13.5,14.5,29.0,0.9310344827586207,2.1481481481481484,0.1818181818181818,0.9683495315172114,3b2e56857792dbc6.npz
Loam,2.0,1.0,0.5,16.5,19.5,39.0,0.8461538461538461,2.3636363636363638,0.1818181818181818,0.9683495315172114,3b2e56857792dbc6.npz
Loam,2.0,2.0,0.5,20.5,25.5,51.0,0.803921568627451,2.4878048780487805,0.1818181818181818,0.9683495315172114,3b2e56857792dbc6.npz
Loam,2.0,4.0,0.5,24.5,33.5,67.0,0.7313432835820896,2.7346938775510203,0.1818181818181818,0.9683495315172114,3b2e56857792dbc6.npz
Loam,4.0,0.5,0.5,16.5,18.5,37.0,0.8918918918918919,2.242424242424242,0.2449494949494949,0.9816700388370938,9149ecad00f32cf0.npz
Loam,4.0,1.0,0.5,21.5,24.5,49.0,0.8775510204081632,2.2790697674418605,0.2449494949494949,0.9816700388370938,9149ecad00f32cf0.npz
Loam,4.0,2.0,0.5,26.5,32.5,65.0,0.8153846153846154,2.452830188679245,0.2449494949494949,0.9816700388370938,9149ecad00f32cf0.npz
Loam,4.0,4.0,0.5,31.5,42.5,85.0,0.7411764705882353,2.6984126984126986,0.2449494949494949,0.9816700388370938,9149ecad00f32cf0.npz
