,,runtime_min,runtime_min,runtime_min,runtime_min
,,min,median,max,mean
texture,var_name,,,,
Clay Loam,Ks,29.61397356589635,40.73466132084529,116.97367932796479,51.669696319103245
Clay Loam,alpha,50.54559556245804,75.79599463740985,468.1922049403191,136.4566462073061
Clay Loam,emitter_radius_cm,41.77519604762395,104.97797712286314,261.9413217902183,115.84372243947452
Clay Loam,fw_threshold,41.24609439373016,42.128628206253055,105.4850724975268,54.82499620278676
Clay Loam,n,29.799165026346838,60.57053956190745,185.33116501569748,93.63050384124121
Loam,Ks,31.362824908892314,40.32580037514369,57.38551070690155,41.68807626101706
Loam,alpha,20.785676113764445,27.287801365057625,45.42230236132939,30.72675455941094
Loam,emitter_radius_cm,12.123639313379924,13.208075712124508,24.335793054103853,15.227057598696815
Loam,fw_threshold,13.390422161420187,14.516983369986216,442.7011827429135,100.46294410785038
Loam,n,14.197003523508707,19.280467609564464,34.56849151849747,21.232562977075577
Loamy Sand,Ks,24.57987318436305,25.055919595559438,25.40644881327947,25.017514910300573
Loamy Sand,alpha,26.22183797756831,50.23031059304873,71.80573251247407,48.01526451441976
Loamy Sand,emitter_radius_cm,28.75405145486196,30.570599846045177,48.519083150227864,34.87089133858681
Loamy Sand,fw_threshold,27.913033755620322,51.28767097393672,51.9669399579366,42.27283159017563
Loamy Sand,n,22.298543115456898,61.79275798201561,612.8009553829829,142.21879679428207
