,ID,Cycle,Schedule,Base,Variant,nonconv_ratio,storage_ratio,rescued_steps,runtime_s
0,C5_R1,C5,fine_careful_start,soft_26_15,candidate_A,0.44602,0.927548,0,1922.16
1,C2_R3,C2,ref_554,soft_26_15,candidate_A,0.471119,0.942162,0,1928.68
2,C5_R2,C5,fine_extra_smooth,soft_26_15,candidate_A,0.489183,0.927,0,1511.83
3,C3_R3,C3,fine_careful_start,soft_26_15,candidate_A,0.448201,0.924902,47,3960.14
4,C4_R1,C4,fine_careful_start,soft_26_15,candidate_A,0.448201,0.924902,47,4523.73
5,C4_R4,C4,fine_careful_start,soft_26_15,candidate_D,0.443839,0.925328,53,1869.75
6,C4_R3,C4,fine_careful_start,soft_26_15,candidate_C,0.504907,0.922638,0,1944.88
7,C4_R2,C4,fine_careful_start,soft_26_15,candidate_B,0.513631,0.919346,0,2370.44
8,C3_R4,C3,fine_extra_smooth,soft_26_15,candidate_A,0.492788,0.924577,59,4091.87
9,C2_R2,C2,ref_554,soft_26_15,candidate_A,0.583032,0.935976,0,11166.38
10,C3_R2,C3,refined_733,soft_26_15,candidate_A,0.555252,0.924292,42,3571.92
11,C1_R5,C1,ref_554,soft_26_15,candidate_A,0.629964,0.934999,24,3515.91
12,C2_R4,C2,ref_554,soft_26_15,candidate_A,0.638989,0.927401,34,2138.16
13,C1_R3,C1,ref_554,soft_26_15,candidate_A,0.738267,0.927746,40,2291.25
14,C3_R1,C3,ref_554,soft_26_15,candidate_A,0.738267,0.927746,40,2757.32
15,C1_R4,C1,ref_554,soft_26_15,candidate_A,0.738267,0.927746,40,2947.65
16,C2_R1,C2,ref_554,soft_26_15,candidate_A,0.738267,0.927746,40,3652.51
17,C1_R2,C1,ref_554,soft_26_15,candidate_A,0.83574,0.918176,28,1373.46
18,C1_R1,C1,ref_554,soft_26_15,candidate_A,0.83574,0.918176,28,1980.02
19,C5_R3,C5,ref_554,run01_like,candidate_D,0.873646,0.942056,10,1288.27
