case_id,group_name,texture,phase_run_id,scenario_name,scenario_note,schedule_name,variant_name,h_init_common,max_iter,rescue_iter,tol,omega_default,max_dh_default,Q_Lh,emitter_radius_cm,fw_threshold,t_final_h,depth_cm,radial_extent_cm,width_cm,volume_cm3,shape_ratio,nonconv_ratio,storage_ratio,rescued_steps,runtime_s,numerical_quality,var_name,var_value,x_for_plot,depth_rel_pct,radial_rel_pct,volume_rel_pct
6bcfa7fd126bba4c,sens_phys,Loamy Sand,C2_R2,Loamy Sand_Ks_-0.30,Physical sensitivity on Ks,coarse_ultra_transition,coarse_A,-50.0,65,95,0.0006,0.32,16.0,1.0,1.0,0.5,3.0,19.5,13.5,27.0,9339.954959122457,1.4444444444444444,0.351578947368421,0.996832380075002,6,1489.8252532482147,Low,Ks,-0.3,-30.0,25.806451612903224,-6.896551724137931,-3.442676193569308
c16f6c4a6c368b4d,sens_phys,Loamy Sand,C2_R2,Loamy Sand_Ks_-0.20,Physical sensitivity on Ks,coarse_ultra_transition,coarse_A,-50.0,65,95,0.0006,0.32,16.0,1.0,1.0,0.5,3.0,18.5,13.5,27.0,9371.370885658354,1.3703703703703705,0.3536842105263157,0.9968617553992856,10,1499.5472478866575,Low,Ks,-0.2,-20.0,19.35483870967742,-6.896551724137931,-3.117895420591072
c78d3709724cbdd9,sens_phys,Loamy Sand,C2_R2,Loamy Sand_Ks_-0.10,Physical sensitivity on Ks,coarse_ultra_transition,coarse_A,-50.0,65,95,0.0006,0.32,16.0,1.0,1.0,0.5,3.0,18.5,13.5,27.0,9619.556705291949,1.3703703703703705,0.3463157894736842,0.9969962335442358,4,1507.1631035804749,Low,Ks,-0.1,-10.0,19.35483870967742,-6.896551724137931,-0.5521273140629716
12373192652cfc69,sens_phys,Loamy Sand,C2_R2,Loamy Sand_Ks_+0.10,Physical sensitivity on Ks,coarse_ultra_transition,coarse_A,-50.0,65,95,0.0006,0.32,16.0,1.0,1.0,0.5,3.0,18.5,13.5,27.0,9952.565526572464,1.3703703703703705,0.3505263157894737,0.9968716544804777,6,1474.7923910617828,Low,Ks,0.1,10.0,19.35483870967742,-6.896551724137931,2.8905488795063365
c32cf79ca5ca1717,sens_phys,Loamy Sand,C2_R2,Loamy Sand_Ks_+0.20,Physical sensitivity on Ks,coarse_ultra_transition,coarse_A,-50.0,65,95,0.0006,0.32,16.0,1.0,1.0,0.5,3.0,17.5,14.5,29.0,10040.530120872978,1.206896551724138,0.3442105263157894,0.9968472279055748,5,1510.590443134308,Low,Ks,0.2,20.0,12.903225806451612,0.0,3.7999350438454096
058b6d90c430560f,sens_phys,Loamy Sand,C2_R2,Loamy Sand_Ks_+0.30,Physical sensitivity on Ks,coarse_ultra_transition,coarse_A,-50.0,65,95,0.0006,0.32,16.0,1.0,1.0,0.5,3.0,16.5,14.5,29.0,9899.158451461435,1.137931034482759,0.3263157894736842,0.9968300667619912,3,1524.3869287967682,Low,Ks,0.3,30.0,6.451612903225806,0.0,2.338421565443309
c2a59807ca67ccd9,sens_phys,Loamy Sand,C2_R2,Loamy Sand_alpha_-0.30,Physical sensitivity on alpha,coarse_ultra_transition,coarse_A,-50.0,65,95,0.0006,0.32,16.0,1.0,1.0,0.5,3.0,11.5,20.5,41.0,9333.671773815277,0.5609756097560976,0.0747368421052631,0.9889800390491624,0,2751.180094718933,High,alpha,-0.3,-30.0,-25.806451612903224,41.37931034482759,-3.507632348164963
f1615bd3d3feedad,sens_phys,Loamy Sand,C2_R2,Loamy Sand_alpha_-0.20,Physical sensitivity on alpha,coarse_ultra_transition,coarse_A,-50.0,65,95,0.0006,0.32,16.0,1.0,1.0,0.5,3.0,11.5,18.5,37.0,10005.97260168349,0.6216216216216216,0.1526315789473684,0.994342672794118,2,3276.4571764469147,Moderate,alpha,-0.2,-20.0,-25.806451612903224,27.586206896551722,3.442676193569346
090d3444d2526b48,sens_phys,Loamy Sand,C2_R2,Loamy Sand_alpha_-0.10,Physical sensitivity on alpha,coarse_ultra_transition,coarse_A,-50.0,65,95,0.0006,0.32,16.0,1.0,1.0,0.5,3.0,14.5,15.5,31.0,10109.645159251955,0.935483870967742,0.2968421052631579,0.9964287560532664,3,4308.343950748444,Low,alpha,-0.1,-10.0,-6.451612903225806,6.896551724137931,4.5144527443975555
80f175cb7d399581,sens_phys,Loamy Sand,C2_R2,Loamy Sand_alpha_+0.10,Physical sensitivity on alpha,coarse_ultra_transition,coarse_A,-50.0,65,95,0.0006,0.32,16.0,1.0,1.0,0.5,3.0,18.5,13.5,27.0,9245.70717951476,1.3703703703703705,0.3568421052631579,0.9967137312695724,5,3736.905905246735,Low,alpha,0.1,10.0,19.35483870967742,-6.896551724137931,-4.417018512504055
1875ca1baca92f1b,sens_phys,Loamy Sand,C2_R2,Loamy Sand_alpha_+0.20,Physical sensitivity on alpha,coarse_ultra_transition,coarse_A,-50.0,65,95,0.0006,0.32,16.0,1.0,1.0,0.5,3.0,19.5,12.5,25.0,9094.91073214245,1.56,0.3410526315789474,0.9966610383532046,7,1639.2978193759918,Low,alpha,0.2,20.0,25.806451612903224,-13.793103448275861,-5.9759662227996
195ddc254a5a25a6,sens_phys,Loamy Sand,C2_R2,Loamy Sand_alpha_+0.30,Physical sensitivity on alpha,coarse_ultra_transition,coarse_A,-50.0,65,95,0.0006,0.32,16.0,1.0,1.0,0.5,3.0,17.5,13.5,27.0,9057.211620299377,1.2962962962962965,0.3231578947368421,0.9971211988938992,7,1573.3102786540985,Low,alpha,0.3,30.0,12.903225806451612,-6.896551724137931,-6.365703150373454
24b89321ccc450e9,sens_phys,Loamy Sand,C2_R2,Loamy Sand_n_-0.15,Physical sensitivity on n,coarse_ultra_transition,coarse_A,-50.0,65,95,0.0006,0.32,16.0,1.0,1.0,0.5,3.0,12.5,18.5,37.0,10759.95483854504,0.6756756756756757,0.1968421052631579,0.99329821314581,1,1337.912586927414,Moderate,n,-0.15,-15.0,-19.35483870967742,27.586206896551722,11.237414745047092
